#000000,0
#AA0000,1
#00AA00,2
#AA5500,3
#0000AA,4
#AA00AA,5
#00AAAA,6
#AAAAAA,7
#555555,10
#FF5555,11
#55FF55,12
#FFFF55,13
#5555FF,14
#FF55FF,15
#55FFFF,16
#FFFFFF,17
